Date,Close/Last,Volume,Open,High,Low
05/11/2021,$2308.76,1605548,$2291.86,$2322,$2283
05/10/2021,$2341.66,1300271,$2374.89,$2378,$2334.73
05/07/2021,$2398.69,1163892,$2400,$2416.41,$2390
05/06/2021,$2381.35,1030859,$2350.64,$2382.71,$2342.3382
05/05/2021,$2356.74,1090275,$2368.42,$2382.2,$2351.41
05/04/2021,$2354.25,1756015,$2369.74,$2379.26,$2311.7
05/03/2021,$2395.17,1689389,$2402.72,$2419.7,$2384.5
04/30/2021,$2410.12,1957130,$2404.49,$2427.14,$2402.16
04/29/2021,$2429.89,1977677,$2410.33,$2436.52,$2402.28
04/28/2021,$2379.91,2986439,$2407.145,$2452.378,$2374.85
04/27/2021,$2307.12,1598583,$2336,$2337.45,$2304.27
04/26/2021,$2326.74,1041650,$2319.93,$2341.26,$2313.84
04/23/2021,$2315.3,1435162,$2283.47,$2325.82,$2278.21
04/22/2021,$2267.92,1054808,$2293.23,$2303.7621,$2256.45
04/21/2021,$2293.29,1196731,$2285.25,$2295.32,$2258.57
04/20/2021,$2293.63,1088749,$2307.89,$2309.6,$2271.71
04/19/2021,$2302.4,1234445,$2291.98,$2318.45,$2287.845
04/16/2021,$2297.76,1130090,$2303,$2306.44,$2284.45
04/15/2021,$2296.66,1373612,$2276.98,$2306.5965,$2266
04/14/2021,$2254.84,1010967,$2275.16,$2277.99,$2249.19
04/13/2021,$2267.27,1165804,$2261.47,$2277.21,$2256.09
04/12/2021,$2254.79,1565851,$2266.25,$2275.32,$2238.465
04/09/2021,$2285.88,1044365,$2256.7,$2289.04,$2253.7139
04/08/2021,$2265.44,1358259,$2277.96,$2284.005,$2257.68
04/07/2021,$2249.68,1289861,$2226.13,$2255,$2225.3303
04/06/2021,$2224.75,1353036,$2222.5,$2237.66,$2214.8
04/05/2021,$2225.55,2164875,$2152.94,$2237.31,$2151.62
04/01/2021,$2137.75,1698978,$2097.95,$2142.94,$2096.89
03/31/2021,$2068.63,1459930,$2059.12,$2093.3273,$2056.745
03/30/2021,$2055.54,1036774,$2057.63,$2070.78,$2044.03
03/29/2021,$2055.95,1229777,$2027.88,$2058.43,$2015.62
03/26/2021,$2035.55,1493800,$2038.86,$2050.99,$2014.0201
03/25/2021,$2044.36,1418907,$2044.81,$2058.87,$2010.73
03/24/2021,$2045.06,1154029,$2065.37,$2078.21,$2041.555
03/23/2021,$2052.96,1366997,$2051.7,$2072.3025,$2039.22
03/22/2021,$2038.59,1954816,$2041.84,$2057.99,$2026.07
03/19/2021,$2043.2,2314893,$2042.05,$2053.1,$2017.68
03/18/2021,$2036.22,1362430,$2061,$2075.5,$2033.55
03/17/2021,$2091.08,1299016,$2076.03,$2109.78,$2054
03/16/2021,$2092.52,1491564,$2078.99,$2123.56,$2070
03/15/2021,$2066.49,1298325,$2062.3,$2067.06,$2043.51
03/12/2021,$2061.92,1725794,$2085,$2090.26,$2047.55
03/11/2021,$2114.77,1239080,$2074.06,$2125.7,$2072.38
03/10/2021,$2055.03,1268592,$2071.76,$2075,$2033.37
03/09/2021,$2052.7,1697306,$2070,$2078.04,$2047.83
03/08/2021,$2024.17,1647429,$2101.13,$2128.81,$2021.61
03/05/2021,$2108.54,2195218,$2073.12,$2118.11,$2046.415
03/04/2021,$2049.09,2118006,$2023.37,$2089.24,$2020.27
03/03/2021,$2026.71,1484181,$2067.21,$2088.518,$2010
03/02/2021,$2075.84,1134595,$2076.19,$2104.37,$2071.26
03/01/2021,$2081.51,1405115,$2056.52,$2086.52,$2046.1
02/26/2021,$2036.86,2083801,$2050.52,$2071.0099,$2016.06
02/25/2021,$2031.36,1828432,$2067.45,$2094.88,$2021.29
02/24/2021,$2095.17,1248349,$2041.83,$2100.78,$2038.13
02/23/2021,$2070.86,1667377,$2025.01,$2082.01,$2002.02
02/22/2021,$2064.88,1367533,$2067,$2091.42,$2062.14
02/19/2021,$2101.14,1457612,$2119.27,$2130.53,$2097.41
02/18/2021,$2117.2,1121855,$2110.39,$2132.735,$2103.71
02/17/2021,$2128.31,1070941,$2100,$2133.66,$2098.92
02/16/2021,$2121.9,1133838,$2104.36,$2152.68,$2104.36
02/12/2021,$2104.11,855865,$2090.25,$2108.82,$2083.13
02/11/2021,$2095.89,945650,$2099.51,$2102.03,$2077.32
02/10/2021,$2095.38,1135464,$2094.21,$2108.37,$2063.09
02/09/2021,$2083.51,889850,$2078.54,$2105.13,$2078.54
02/08/2021,$2092.91,1242411,$2105.91,$2123.5469,$2072
02/05/2021,$2098,1535135,$2070,$2102.51,$2059.33
02/04/2021,$2062.37,1852329,$2068.89,$2078.55,$2042.59
02/03/2021,$2070.07,4118170,$2073,$2116.5,$2018.38
02/02/2021,$1927.51,2273723,$1922.56,$1955.76,$1914.49
02/01/2021,$1901.35,1602182,$1853.57,$1922.3918,$1850.93
01/29/2021,$1835.74,1612552,$1846.17,$1857.28,$1810.2
01/28/2021,$1863.11,1773138,$1843.94,$1898.83,$1842.64
01/27/2021,$1830.79,2748292,$1882.53,$1890,$1809
01/26/2021,$1917.24,1313139,$1888.84,$1925,$1884.245
01/25/2021,$1899.4,1927320,$1920.67,$1929.58,$1867.53
01/22/2021,$1901.05,1272232,$1895.68,$1910.95,$1881.76
01/21/2021,$1891.25,2063932,$1898,$1934.86,$1887.11
01/20/2021,$1886.9,2490258,$1831.46,$1903.71,$1825.53
01/19/2021,$1790.86,1734614,$1752.25,$1809.275,$1741.46
01/15/2021,$1736.19,1342170,$1738.19,$1756,$1721.55
01/14/2021,$1740.18,1179477,$1753.62,$1775.01,$1733.4
01/13/2021,$1754.4,1094131,$1738.58,$1765.035,$1738.01
01/12/2021,$1746.55,1357691,$1753.92,$1778.04,$1725.31
01/11/2021,$1766.72,1209735,$1786.07,$1794.315,$1760.5201
01/08/2021,$1807.21,2051002,$1787.98,$1809.84,$1773.535
01/07/2021,$1787.25,2265022,$1740.06,$1788.4,$1737.05
01/06/2021,$1735.29,2602114,$1702.63,$1748,$1699
01/05/2021,$1740.92,1145347,$1725,$1747.67,$1718.015
01/04/2021,$1728.24,1901855,$1757.54,$1760.65,$1707.85
12/31/2020,$1751.88,1012240,$1735.42,$1758.93,$1735.42
